name,description
Environmental Management & Ethics,"Decision-makers often turn to scientists and engineers to assist them to navigate through complex environmental, health and societal challenges pervaded by systemic uncertainty, ambiguity and ethical implications. \n\nThis course prepares you to meet the requests and demands of current and future decision-makers and in this course, you will analyze ethical challenges associated with environmental dilemmas and apply different decision making tools relevant to environmental management and regulation"
Foundations of Teaching for Learning: Developing Relationships,"The Foundations of Teaching for Learning programme is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace. With dynamic lessons taught by established and respected professionals from across the Commonwealth, this eight course programme will see you develop and strengthen your skills in teaching, professionalism, assessment, and more. As you carry on through the programme, you will find yourself strengthening not only your skills, but your connection with colleagues across the globe. A professional development opportunity not to be missed. \n\nPositive relationships with students supports children's learning. Positive relationships with colleagues and school leaders helps school improvement.  This course helps teachers develop strong relationships with families and colleagues.\n\nEnhance your course by joining the Commonwealth teaching community on our website, Facebook and Twitter"
"Працюйте розумніше, а не більше: управління часом для особистої та професійної продуктивності","Працюйте розумніше, а не більше\nВи зможете здобути і застосувати ваші знання та розуміння особистої та професійної обізнаності, організованості та виконання зобов’язань, а також використовувати інструменти, методи та прийоми, про які ви дізналися, для постановки цілей та пріоритетів, планування та делегування для подолання управлінських викликів та покращення продуктивності. \n\nThis course is translated by the Ukrainian mobile network operator, lifecell"
Materials in Oral Health,"The drive for development of new and novel oral biomaterials has never been more important with many people using oral biomaterials today and seeing their benefits in restoring and improving their oral health for a more enjoyable lifestyle. The unique properties of biomaterials such as titanium (Ti), zirconia (ZrO2) and various polymeric materials have made them materials of choice in oral health: dental implants, oral and maxillofacial surgery, and even regenerative medicine. Oral biomaterials research today is an exciting and intensive multidisciplinary area that encompasses contributions from a wide range of fields from professional dentistry to biology, chemistry, physics, material science, and engineering. \n\nMaterials in Oral Health is a FREE 4-week course open to all interested learners. In the course, you will learn about the special properties and benefits of biomaterials including, titanium and titanium alloys, zirconia and other alloys, ceramics, and modern composites. You will gain insights of the practical use of these biomaterials in different aspects of dentistry and clinical implications. You will realize how contemporary dentistry is about unifying synthetic materials to living tooth and bone tissues. You will get in touch with the crucial roles of digital dentistry and learn about CAD/CAM technology in crown fabrication, 3D printing and digital orthodontics. And lastly, you will be introduced to procedures and testing methods used to test significant mechanical properties of biomaterials in the research laboratory. \n\nWe cordially invite those of you who wish to make a difference in tomorrow’s dental materials and oral health development to join us in the 4-week journey in Materials in Oral Health.\n\nYou can get recognition for completion of the course by obtaining a Course Certificate. You can refer to details on: https://learner.coursera.help/hc/en-us/articles/208280196"
What is Data Science?,"The art of uncovering the insights and trends in data has been around since ancient times. The ancient Egyptians used census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do. This field is data science. In this course, we will meet some data science practitioners and we will get an overview of what data science is today.\n\nLIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate"
人工智慧：機器學習與理論基礎 (Artificial Intelligence - Learning & Theory),"本課程第二部分著重在和人工智慧密不可分的機器學習。課程內容包含了機器學習基礎理論（包含 1990 年代發展的VC理論）、分類器（包含決策樹及支援向量機）、神經網路（包含深度學習）及增強式學習（包含深度增強式學習。\n        此部份技術包含最早追溯至 1950 年代直到最近 2016 年附近的最新發展。此課程從基礎理論開始，簡介了各機器學習主流技法以及從淺層學習架構演變到最近深度架構的轉換。\n\n本課程之核心目標為：\n（一）使同學對人工智慧相關的機器學習技術有基礎概念\n（二）同學能夠理解機器學習基礎理論、分類器、神經網路、增強式學習\n（三）同學能將相關技術應用到自己的問題上\n\n修課前，基礎背景知識：\n需要的先備知識：計算機概論\n建議的先備知識：資料結構與演算法"""
Information Visualization: Advanced Techniques,"This course aims to introduce learners to advanced visualization techniques beyond the basic charts covered in Information Visualization: Fundamentals. These techniques are organized around data types to cover advance methods for: temporal and spatial data, networks and trees and textual data. In this module we also teach learners how to develop innovative techniques in D3.js.\n\nLearning Goals\nGoal: Analyze the design space of visualization solutions for various kinds of data visualization problems. Learn what designs are available for a given problem and what are their respective advantages and disadvantages.\n- Temporal\n- Spatial\n- Spatio-Temporal\n- Networks\n- Trees\n- Text\n\nThis is the fourth course in the Information Visualization Specialization. The course expects you to have some basic knowledge of programming as well as some basic visualization skills (as those introduced in the first course of the specialization)"
¿Cómo construir mi modelo de negocio?,"Este curso te ofrece desarrollar un modelo de negocio estructurado, con base en la metodología del Canvas Business Model, para crear una propuesta de valor orientada a los diferentes segmentos identificados como mercado objetivo de tu negocio o empresa. \n\nAl terminar el curso, tendrás un modelo de negocio diferenciado, con una propuesta de valor clara a través de prototipos validados con los consumidores. Vas a estructurar un modelo de negocio que te permitirá obtener un negocio diferenciado, viable y efectivo. \n\nObjetivos de aprendizaje:\n\n1. Construir el modelo de negocio en torno a la propuesta de valor. El modelo de negocio es el sistema de actividades que se debe constituir para lograr que el proyecto emprendedor funcione en la práctica. Sus componentes incluyen la definición del segmento de mercado en el que se va a operar; los canales a través de los cuales se va a llegar al consumidor; las actividades, recursos y aliados del proyecto; y las fuentes de ingresos y costos. \n\n2. Identificar los actores críticos que deben tomar decisiones favorables para el proyecto en cada uno de los componentes del modelo de negocio. Establecer una propuesta de valor diferenciada para cada uno de esos actores.\n\n3. Validar el modelo de negocio en contacto directo con los consumidores y con los diferentes actores, cuyas decisiones son importantes para el proyecto.\n\nTen en cuenta que este curso ha sido diseñado como el segundo de cuatro cursos que hacen parte del programa especializado en “Desarrollo de nuevas empresas” (https://www.coursera.org/specializations/desarrollo-nuevas-empresas), cuyo objetivo es brindarte una ruta práctica y accesible para crear y consolidar tu propia empresa, partiendo del análisis de tus ideas, de tus propias habilidades y de las oportunidades que te ofrece tu entorno inmediato. El primer curso del programa se llama \""¿Cómo convertir mi idea en empresa?\"" (https://www.coursera.org/learn/idea-empresa/home/welcome), te recomendamos que te inscribas y participes en él si no lo has hecho.\n\nPuedes tomar todos los cursos del programa por separado o sólo uno de ellos, sin embargo te recomendamos que te inscribas y participes en los cuatro, ojalá en el orden que te proponemos, de manera que llegues al último curso denominado \""Mi nueva empresa: los siguientes pasos\"" preparado para aplicar los conocimientos adquiridos en los cursos anteriores y lleves tu emprendimiento o negocio a la realidad"
剪辑：像编剧一样剪辑,"剪辑台前，剪辑师就像厨师对待食材一样，摆弄着拍摄现场记录下来的影像片段，用影像和声音去捕捉线索和瞬间，讲述一个故事，同时赋予故事以力量、以情感。怎样平衡剪辑給画面带来的跳跃？当有几条情节线索相互穿插时，又应使用哪些剪辑手法？剪辑过程和编剧的过程一样，以叙事和抒情为最高准则，同时不断突破陈规，创造专属于自己的独特风格。本课程将带领学习者从剪辑开始，认识镜头，认识剪辑的语法，揭开微电影创作的神秘面纱。"""
Annual Campaigns: Building a Case for Support,"In this comprehensive overview of annual giving programs, you’ll gain an introduction to the basic terminology and concepts of annual giving as well as the various solicitation channels and donor types. Learn how to write a direct mail appeal, craft an impactful email appeal, and develop a script for phone solicitation. You’ll learn how to build a leadership annual giving portfolio and maximize the impact of memberships and events in annual campaigns. You’ll complete the course with the knowledge and skills to build and implement a multi-channel solicitation strategy that achieves the goals of an annual campaign."
